Time /s	16 uM 8 kDa pH 7.4 0.1% seeds
3272.727273	68.62745098
9818.181818	91.50326797
17181.81818	91.50326797
29454.54545	183.0065359
34363.63636	228.7581699
43363.63636	320.2614379
54000	480.3921569
57272.72727	549.0196078
64636.36364	686.2745098
71181.81818	800.6535948
80181.81818	892.1568627
89181.81818	960.7843137
100636.3636	1006.535948
114545.4545	1029.411765
124363.6364	1052.287582
136636.3636	1052.287582
148909.0909	1052.287582
157909.0909	1052.287582
166090.9091	1029.411765
173454.5455	1006.535948
180000	1006.535948
