Time /s	16 uM 5 kDa pH 7.4
7290.924968	43.17189494
24266.80997	53.24376973
39615.83932	50.10042319
51743.80332	60.12292604
62250.35266	63.52958957
73567.60932	70.24417277
88111.37234	70.39228857
100233.8953	73.81540942
110740.4447	77.22207295
122865.6882	83.9448848
136601.4644	84.08477195
149537.4152	94.11550346
160043.9645	97.52216699
174590.448	100.9699738
191560.8921	104.4424666
202878.1487	111.1570498
214195.4054	117.871633
227134.0767	131.2020555
240875.2939	137.9413246
252184.3891	134.7568348
266728.1521	134.9049506
276426.7146	138.3033855
285314.5698	138.3939007
295821.1191	141.8005643
307132.9348	141.9157654
320868.711	142.0556526
