Time /s	4 uM 68 kDa pH 6.8
905.614751	55.28619529
7189.904028	55.28619529
11603.71798	57.17171717
16021.76377	59.5959596
21068.23849	62.02020202
25486.28429	64.44444444
30530.64309	66.5993266
37462.40459	69.02356902
43139.42417	71.71717172
48179.55112	73.33333333
55731.27787	74.68013468
65798.83624	76.2962963
72089.47329	77.1043771
85297.06038	78.45117845
94103.52906	79.52861953
103532.0789	79.7979798
116741.7819	81.41414141
126172.4477	81.95286195
133719.9426	82.76094276
141895.8664	83.56902357
152585.5059	84.37710438
159498.2241	84.37710438
172060.4549	83.56902357
180854.2281	83.03030303
189654.349	83.2996633
199080.7829	83.2996633
210390.3877	83.03030303
221075.7954	83.2996633
233646.4898	83.56902357
241813.95	83.2996633
