Time /s	8 uM 8 kDa pH 7.4
2278.481013	39.47368421
9113.924051	39.47368421
15189.87342	47.36842105
20886.07595	55.26315789
26582.27848	63.15789474
31139.24051	71.05263158
38734.17722	94.73684211
44430.37975	126.3157895
50506.32911	142.1052632
55822.78481	157.8947368
61518.98734	189.4736842
66835.44304	197.3684211
71772.1519	213.1578947
77468.35443	221.0526316
85063.29114	244.7368421
89240.50633	244.7368421
94177.21519	260.5263158
97215.18987	268.4210526
102911.3924	284.2105263
107088.6076	300
111265.8228	300
117721.519	307.8947368
121518.9873	315.7894737
126455.6962	315.7894737
131392.4051	331.5789474
137848.1013	331.5789474
140126.5823	331.5789474
146582.2785	331.5789474
150759.4937	339.4736842
156455.6962	347.3684211
159493.6709	347.3684211
164430.3797	339.4736842
170886.0759	339.4736842
176962.0253	355.2631579
180379.7468	355.2631579
