Time /s	24 uM 5 kDa pH 7.4
2456.606435	59.62097803
15387.11628	63.05232753
25085.67878	66.45076241
33973.53396	66.54127762
42053.4023	66.62356418
52562.67213	73.32991872
63069.22147	76.73658225
71976.1201	99.92493451
80874.85726	113.2142137
90587.02223	133.1111036
101107.174	153.0162222
108392.658	169.5887351
116488.8493	189.4691677
123771.6128	202.7419897
134286.3236	216.0477262
146425.1696	239.2689931
155321.1863	249.2585813
171489.0844	259.3222274
180379.6601	262.7124337
188464.9694	269.3941022
198971.5188	272.8007658
207864.8149	279.490663
219987.3379	282.9137838
228877.9136	286.3039901
238576.4761	289.7024249
252312.2523	289.8423121
260389.4001	286.6249076
272511.9232	290.0480285
284634.4462	293.4711493
295948.9823	296.8860415
305642.1038	293.6850944
319377.88	293.8249815
