Time /s	16 uM 5 kDa pH 6.5 10% seeds
178.9178381	201.5250545
3614.767064	221.9498911
7050.616289	242.3747277
11631.74859	269.6078431
16212.88089	296.8409586
20238.15919	351.3071895
25427.37338	446.6230937
28314.82974	507.8976035
30631.50983	569.1721133
32955.65106	644.0631808
35294.71454	746.1873638
37637.50858	855.1198257
38808.9056	909.5860566
41136.77739	991.2854031
43457.18805	1059.368192
48071.89542	1147.875817
52660.48885	1188.72549
57816.12797	1222.766885
63527.62109	1229.575163
70373.2056	1222.766885
76651.74441	1222.766885
82359.50697	1222.766885
88611.93184	1175.108932
94304.77214	1147.875817
101695.019	1093.409586
106238.8456	1052.559913
113065.7773	1011.71024
123332.2888	998.0936819
132446.056	964.0522876
135296.2068	957.2440087
144428.6269	957.2440087
153564.7775	964.0522876
161548.184	950.4357298
165539.8872	943.627451
