Time /s	8 uM 8 kDa pH 6
60.05307721	66.89245545
1155.566789	87.17300645
1173.764691	107.4434475
2806.116517	125.7020094
3361.152534	143.9504613
3919.828131	166.2530014
3943.485404	192.6045748
4505.800581	218.9612031
5066.295969	243.2907873
5093.592822	273.6964489
6190.926324	296.004044
6755.061292	324.3877164
7854.214584	348.7223556
9488.3862	369.0079616
10578.44054	383.2073803
11679.41362	409.5690636
12774.92733	429.8496146
15482.77518	446.0912423
17651.96512	462.327815
20898.47087	478.5744977
24144.97662	494.8211803
28461.51902	502.9697965
33318.53911	513.1505118
37101.88298	527.3752054
42493.9214	533.5068874
47885.95981	539.6385694
53276.17844	543.7432074
58666.39707	547.8478453
67829.04082	554.0149122
76993.50436	562.2090231
86154.32832	566.3490459
95309.69291	564.4079363
100152.1547	558.3722987
107154.7074	558.4380134
114695.9181	558.508783
122777.6065	560.6116517
129776.5197	556.6232781
138937.3436	560.7633009
145399.4187	558.7969165
149708.6819	558.8373562
158862.2267	554.8692026
165322.482	550.875774
174479.6664	550.9617086
181484.0389	553.0544673
191181.701	555.1725009
199257.93	551.1942373
206255.0234	545.1788197
215408.5682	541.210666
