Time /s	48 uM 8 kDa pH 7.4
379.7468354	39.47368421
4556.962025	55.26315789
7974.683544	55.26315789
12911.39241	71.05263158
18227.8481	86.84210526
22025.31646	126.3157895
25443.03797	157.8947368
29620.25316	236.8421053
32278.48101	323.6842105
33797.46835	394.7368421
34556.96203	489.4736842
37974.68354	576.3157895
40632.91139	663.1578947
41772.1519	734.2105263
44430.37975	836.8421053
45569.62025	900
47088.60759	1002.631579
48607.59494	1089.473684
51265.82278	1192.105263
53164.55696	1271.052632
56962.02532	1373.684211
60759.49367	1452.631579
66075.94937	1507.894737
71012.65823	1539.473684
77088.60759	1578.947368
85063.29114	1618.421053
87721.51899	1626.315789
94936.70886	1657.894737
100253.1646	1665.789474
107088.6076	1681.578947
112025.3165	1697.368421
118860.7595	1728.947368
122658.2278	1760.526316
127215.1899	1807.894737
131772.1519	1871.052632
138227.8481	1942.105263
143544.3038	1997.368421
146962.0253	2060.526316
152658.2278	2147.368421
156075.9494	2226.315789
160632.9114	2344.736842
163670.8861	2431.578947
167848.1013	2534.210526
172405.0633	2652.631579
175063.2911	2715.789474
