X	Kakkar2016_Fig1_10uM.txt: 10 uM	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM	Kakkar2016_Fig1_16uM.txt: 16 uM	Kakkar2016_Fig1_20uM.txt: 20 uM	Kakkar2016_FigS1B_5pcseeds.txt: 5% seeds	Kakkar2016_FigS1B_20pcseeds.txt: 20% seeds
383.01	2.57772509296e-05	4.83693705695e-05	8.54373845723e-05	0.000150919077798	0.0477190513517	0.166950857892
1096.61902051	0.000211404766408	0.00039698968619	0.000702145881805	0.00124321886241	0.0484314401037	0.168948864463
1810.22804101	0.000577298774738	0.00108628288709	0.00192747984648	0.00343146028298	0.0498252383865	0.172795293046
2523.83706152	0.00112648261689	0.00212657006882	0.00379248824313	0.00680849434148	0.0519016120233	0.178424483907
3237.44608202	0.00186381739712	0.00353420113332	0.00634591905888	0.0115193161816	0.0546670570304	0.185778474716
3951.05510253	0.00279601603126	0.00533164952356	0.00965467921291	0.0177629257322	0.0581330264424	0.194804748333
4664.66412303	0.0039316695052	0.00754766276253	0.0138044648161	0.0257941899448	0.0623155402867	0.205453985573
5378.27314354	0.00528128388637	0.010217454298	0.018900436682	0.0359245536982	0.0672347645496	0.217677834847
6091.88216404	0.00685732643077	0.0133829188317	0.0250677759499	0.0485200048944	0.0729145446534	0.231426722404
6805.49118455	0.00867427885589	0.0170928488745	0.0324519026876	0.0639941930742	0.0793818788773	0.246647739096
7519.10020505	0.0107486954986	0.0214031246283	0.0412180776555	0.082794146736	0.0866663174863	0.263282651489
8232.70922556	0.0130992636397	0.0263768424232	0.0515500382958	0.105375857878	0.0947992742481	0.281266095737
8946.31824606	0.0157468627451	0.0320843389047	0.0636472534948	0.132167455653	0.103813238725	0.300524020673
9659.92726657	0.0187146187469	0.0386030592168	0.0777203334722	0.163519210962	0.113740880428	0.320972450766
10373.5362871	0.0220279487583	0.0460172080453	0.0939841251977	0.199642557416	0.1246140398	0.342516638668
11087.1453076	0.025714590793	0.0544171134045	0.112648092179	0.240544640738	0.136462606255	0.365050670078
11800.7543281	0.0298046121499	0.0638982257377	0.133903757416	0.285969782221	0.149313290133	0.388457569879
12514.3633486	0.034330389147	0.0745596710346	0.15790931344	0.335362821255	0.16318830355	0.412609938261
13227.9723691	0.0393265498761	0.0865022785923	0.184771988735	0.387869136711	0.178103974415	0.43737111958
13941.5813896	0.0448298706546	0.0998260145686	0.214529381439	0.442380409824	0.194069328071	0.462596876833
14655.1904101	0.05087911593	0.114626774689	0.247131645216	0.497624301511	0.211084681464	0.48813751338
15368.7994306	0.0575148106483	0.130992526256	0.28242698568	0.552283621689	0.229140304655	0.513840353806
16082.4084511	0.0647789336362	0.148998843008	0.32015319353	0.605121523869	0.248215212764	0.539552470872
16796.0174716	0.072714520513	0.168703946491	0.359937698508	0.655087911054	0.268276157029	0.565123527923
17509.6264921	0.0813651652052	0.190143451705	0.401307758228	0.701389028638	0.289276885262	0.590408598268
18223.2355126	0.0907744104731	0.213325105966	0.443710952043	0.74351369447	0.311157738614	0.615270825635
18936.8445331	0.100985020162	0.238223896939	0.486544399068	0.781220745758	0.33384564246	0.639583802793
19650.4535536	0.112038129345	0.264777973052	0.529189491492	0.81449932768	0.357254534164	0.663233567263
20364.0625741	0.12397227329	0.292885849283	0.571047884566	0.843515577981	0.381286249887	0.686120141366
21077.6715946	0.13682230231	0.322405346746	0.611574318419	0.868557286324	0.405831867672	0.708158575548
21791.2806152	0.150618197103	0.353154624259	0.650302595441	0.889984299063	0.430773476563	0.729279486016
22504.8896357	0.165383807869	0.384915503219	0.686862450886	0.908188561118	0.455986313958	0.749429107074
23218.4986562	0.1811355501	0.417439075979	0.720986713982	0.923564705893	0.481341188418	0.768568903183
23932.1076767	0.197881099821	0.450453348893	0.752509639231	0.936490272969	0.506707085277	0.786674803971
24645.7166972	0.21561814046	0.483672440786	0.781358303844	0.947313782097	0.531953839876	0.803736136853
25359.3257177	0.234333221552	0.516806674975	0.807539419802	0.956348705392	0.556954759333	0.819754336592
26072.9347382	0.254000794891	0.549572801085	0.831123865911	0.963871560948	0.58158907884	0.83474151001
26786.5437587	0.274582495593	0.581703579773	0.852230867609	0.970122685339	0.60574415193	0.848718928211
27500.1527792	0.296026732645	0.612956057898	0.87101321946	0.975308600496	0.629317294351	0.86171550964
28213.7617997	0.31826864534	0.643118033852	0.887644402345	0.979605207869	0.652217225874	0.873766346251
28927.3708202	0.341230468167	0.672012429819	0.902307985196	0.983161296686	0.674365081004	0.884911313379
29640.9798407	0.364822327699	0.699499512335	0.915189358524	0.986102042594	0.695694985616	0.89519379244
30354.5888612	0.388943471826	0.725477101272	0.926469625695	0.988532307177	0.71615421988	0.904659525093
31068.1978817	0.413483905969	0.749879057153	0.936321358673	0.990539639733	0.735703006812	0.913355608429
