Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 5uM X	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 5uM Y
115.6626506	0.0133879386108
202.4096386	0.0282407661742
289.1566265	0.0377145318103
375.9036145	0.0392845299206
462.6506024	0.0536734171147
520.4819277	0.0520200399816
693.9759036	0.139309329348
751.8072289	0.108992708471
838.5542169	0.120346126563
867.4698795	0.109726218701
954.2168675	0.0813614482554
1040.963855	0.0726235433079
1040.963855	0.0255607172899
1098.795181	0.0331451189956
1127.710843	0.00683272913001
1272.289157	0.0155506044887
1272.289157	-0.0138636614893
1359.036145	-0.0491379465535
1416.86747	-0.0746819727936
1503.614458	-0.115838748744
1648.192771	-0.144243156506
1706.024096	-0.11187954145
1850.60241	-0.0797968842339
1850.60241	-0.0797968842339
2024.096386	-0.119477771443
2053.012048	-0.0679532143574
2255.421687	-0.0413313962
2284.337349	-0.0498790655011
2371.084337	-0.0939274576464
2689.156627	-0.0869453681083
2833.73494	-0.0554359560674
2891.566265	-0.0526823245898
2891.566265	-0.0526823245898
3065.060241	-0.0456785886139
3412.048193	-0.00660060399597
3585.542169	0.00254970734242
3701.204819	0.0160686524829
3903.614458	0.0243709986552
4048.192771	0.0256929620132
4192.771084	0.0267472027038
4250.60241	0.0271054149095
4886.746988	-0.0353102465934
5204.819277	-0.0525225268807
5378.313253	-0.0112182311861
5638.554217	-0.0111367740458
5985.542169	0.0182496914559
6216.86747	0.0299387344158
