Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 5uM X	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 5uM Y
115.6626506	-8.04653589253e-17
202.4096386	0.0118365843191
289.1566265	0.0413217282896
375.9036145	0.0884554321058
462.6506024	0.129706282597
520.4819277	0.17093350722
693.9759036	0.206372382249
751.8072289	0.277013873174
838.5542169	0.324147576925
867.4698795	0.35358546916
954.2168675	0.436016292408
1040.963855	0.494915702745
1040.963855	0.541978528763
1098.795181	0.565557193669
1127.710843	0.606760792166
1272.289157	0.665707454756
1272.289157	0.695121720734
1359.036145	0.765786837462
1416.86747	0.812896915281
1503.614458	0.883562032009
1648.192771	0.95427440099
1706.024096	0.936673093011
1850.60241	0.936791222351
1850.60241	0.936791222351
2024.096386	1.00752721681
2053.012048	0.960488016728
2255.421687	0.960653398322
2284.337349	0.97244273084
2371.084337	1.02545928798
2689.156627	1.04336773238
2833.73494	1.01995444893
2891.566265	1.02000170119
2891.566265	1.02000170119
3065.060241	1.02014345666
3412.048193	0.991012700966
3585.542169	0.985271603238
3701.204819	0.973600400707
3903.614458	0.967882929106
4048.192771	0.968001058447
4192.771084	0.968119187787
4250.60241	0.968166440041
4886.746988	1.0333975961
5204.819277	1.0513060405
5378.313253	1.0102678236
5638.554217	1.0104804568
5985.542169	0.981349701108
6216.86747	0.969773002438
