X	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 5uM
69.563	0.00487740577223
134.229030303	0.0179614804342
198.895060606	0.0387422685461
263.561090909	0.0664056006113
328.227121212	0.0999317001289
392.893151515	0.138180048407
457.559181818	0.179972790405
522.225212121	0.224167114489
586.891242424	0.269710767307
651.557272727	0.315678711124
716.22330303	0.36129202473
780.889333333	0.405922097115
845.555363636	0.449083986584
910.221393939	0.490422782345
974.887424242	0.529696250683
1039.55345455	0.566756273698
1104.21948485	0.601530805324
1168.88551515	0.634007394977
1233.55154545	0.664218809374
1298.21757576	0.692230918158
1362.88360606	0.7181327758
1427.54963636	0.742028700031
1492.21566667	0.764032085931
1556.88169697	0.784260679869
1621.54772727	0.802833050153
1686.21375758	0.81986601826
1750.87978788	0.835472847377
1815.54581818	0.849762018427
1880.21184848	0.862836454903
1944.87787879	0.874793085296
2009.54390909	0.885722655245
2074.20993939	0.895709720876
2138.8759697	0.904832770488
2203.542	0.913164434273
2268.2080303	0.920771751667
2332.87406061	0.927716473648
2397.54009091	0.934055383266
2462.20612121	0.9398406223
2526.87215152	0.945120015414
2591.53818182	0.949937385825
2656.20421212	0.954332858484
2720.87024242	0.958343148226
2785.53627273	0.96200183145
2850.20230303	0.965339600654
2914.86833333	0.968384501711
2979.53436364	0.971162154196
3044.20039394	0.973695955294
3108.86642424	0.976007268049
3173.53245455	0.978115594761
3238.19848485	0.98003873645
3302.86451515	0.981792939285
3367.53054545	0.983393028888
3432.19657576	0.984852533408
3496.86260606	0.986183796206
3561.52863636	0.987398078957
3626.19466667	0.988505655948
3690.86069697	0.989515900268
3755.52672727	0.990437362572
3820.19275758	0.991277843026
3884.85878788	0.99204445701
3949.52481818	0.992743695114
4014.19084848	0.993381477904
4078.85687879	0.99396320591
4143.52290909	0.994493805251
4208.18893939	0.994977769267
4272.8549697	0.995419196507
4337.521	0.995821825396
4402.1870303	0.996189065857
4466.85306061	0.996524028164
4531.51909091	0.996829549261
4596.18512121	0.99710821678
4660.85115152	0.997362390939
4725.51718182	0.997594224525
4790.18321212	0.997805681123
4854.84924242	0.997998551741
4919.51527273	0.998174469974
4984.18130303	0.998334925838
5048.84733333	0.998481278391
5113.51336364	0.998614767237
5178.17939394	0.998736523031
5242.84542424	0.998847577048
5307.51145455	0.998948869922
5372.17748485	0.999041259609
5436.84351515	0.999125528659
5501.50954545	0.999202390836
5566.17557576	0.99927249717
5630.84160606	0.999336441469
5695.50763636	0.999394765348
5760.17366667	0.999447962816
5824.83969697	0.999496484461
5889.50572727	0.999540741268
5954.17175758	0.999581108096
6018.83778788	0.999617926858
6083.50381818	0.999651509412
6148.16984848	0.999682140207
6212.83587879	0.99971007869
6277.50190909	0.999735561503
6342.16793939	0.999758804489
6406.8339697	0.999780004518
6471.5	0.999799341157
