X	Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45
0.0	0.0	0.0	0.0	0.0	0.0	0.0
714.032202929	0.00024294836755	0.000379698312366	0.000593887897731	0.000976006150254	0.00153468110153	0.00242961206599
1428.06440586	0.000969610941903	0.00151834835867	0.00238532536599	0.003962046418	0.00635602011032	0.0104658402652
2142.09660879	0.00218040983503	0.00342671294614	0.00542443906711	0.0091706691364	0.0151922583376	0.0265710955879
2856.12881172	0.00388049304801	0.00613019847276	0.00980723469927	0.0169812567269	0.0293313075952	0.0551793317002
3570.16101465	0.00607949848902	0.00966819068334	0.0156741845393	0.0279399713631	0.0506314206389	0.10249725079
4284.19321758	0.00879132735497	0.0140934073225	0.0232085628304	0.0427524349778	0.0814213010399	0.174746992892
4998.22542051	0.0120339144158	0.0194711653195	0.0326336013948	0.0622567199182	0.124149090828	0.2739866059
5712.25762343	0.0158289822764	0.0258784492324	0.0442073534605	0.0873612296461	0.180660330376	0.393596985951
6426.28982636	0.0202017661626	0.0334026566177	0.0582140025571	0.118932764903	0.251178868275	0.518919027536
7140.32202929	0.0251806953034	0.0421398876657	0.074950329949	0.15762945923	0.333442729733	0.634469394114
7854.35423222	0.0307970166914	0.0521926447663	0.0947062913933	0.203695435759	0.422688439917	0.730841257352
8568.38643515	0.0370843470746	0.0636668176285	0.117739303057	0.256766121718	0.512793712006	0.805819169089
9282.41863808	0.0440781396428	0.0766678568927	0.144243009809	0.315759111386	0.598014621884	0.861640575294
9996.45084101	0.051815053247	0.0912960895505	0.174312984316	0.378919860138	0.674315612822	0.902123506627
10710.4830439	0.0603322143353	0.107641207218	0.207913713251	0.444040422722	0.73975496928	0.931043327315
11424.5152469	0.0696663653314	0.125776064286	0.244852796062	0.508793735229	0.794114705429	0.951528432263
12138.5474498	0.0798528980794	0.145750052352	0.284768737164	0.571074288096	0.838254450241	0.965970743568
12852.5796527	0.0909247773335	0.16758245741	0.327137387231	0.629243364931	0.873535687561	0.976126398673
13566.6118557	0.10291136706	0.191256335669	0.371298859267	0.682232324218	0.901437041838	0.983257554025
14280.6440586	0.115837181339	0.216713534045	0.416502326475	0.729518684172	0.92334557003	0.98826103612
14994.6762615	0.129720591522	0.243851501502	0.461961924188	0.771023872806	0.940467591815	0.991770161597
15708.7084644	0.144572531368	0.27252246233	0.506914541227	0.806983723366	0.953807481398	0.994230663541
16422.7406674	0.160395251283	0.302535342008	0.550670436752	0.837827077482	0.964179647237	0.995955678536
17136.7728703	0.177181180472	0.333660563178	0.592650112866	0.86407934029	0.972233661292	0.997164971702
17850.8050732	0.19491196063	0.365637501033	0.632404592793	0.886294401861	0.97848223937	0.998012694135
18564.8372762	0.21355771557	0.398184060907	0.66961984683	0.905011301387	0.98332738229	0.998606940659
19278.8694791	0.233076617065	0.431007578657	0.704108604207	0.920729642371	0.987082933716	0.99902349786
19992.901682	0.253414797598	0.463816098047	0.735793867642	0.933897925232	0.989993235212	0.99931549589
20706.9338849	0.274506645721	0.496329074538	0.76468832939	0.94491011253	0.992248177515	0.999520179801
21420.9660879	0.296275500051	0.52828668535	0.790873048315	0.954107047498	0.993995163771	0.999663658252
22134.9982908	0.31863473499	0.5594571564	0.814477656116	0.961780459751	0.995348530072	0.999764233059
22849.0304937	0.341489206988	0.589641796103	0.835663342727	0.968178124583	0.996396920211	0.999834733444
23563.0626967	0.364737006968	0.618677700823	0.85460908494	0.973509318094	0.997209037233	0.999884152408
24277.0948996	0.388271444701	0.646438324703	0.871501061799	0.977950087695	0.997838118255	0.999918793831
24991.1271025	0.411983176557	0.672832263624	0.886524908786	0.981648094182	0.998325410549	0.999943076575
25705.1593055	0.43576238059	0.697800683697	0.899860338628	0.984726924107	0.998702869085	0.999960098151
26419.1915084	0.459500882944	0.721313838064	0.911677639132	0.987289853142	0.998995248536	0.999972029836
27133.2237113	0.483094146821	0.743367079238	0.922135600139	0.989423085386	0.999221724998	0.999980393638
27847.2559142	0.506443048609	0.763976707352	0.931380489478	0.991198515055	0.999397152793	0.999986256448
28561.2881172	0.529455383557	0.783175915078	0.939545771534	0.992676065118	0.999533038307	0.999990366125
29275.3203201	0.552047063477	0.801011010987	0.946752330927	0.993905658178	0.999638294473	0.999993246903
29989.352523	0.574142989484	0.817538033054	0.953109022793	0.994928871671	0.999719825268	0.999995266254
