X	Romero2010_10min.txt: acid 10min
-1565.217391	0.000210586812257
1059.2885382	9.54046023302e-05
3683.7944674	0.00114309520743
6308.30039661	0.00332600552751
8932.80632581	0.00662670937852
11557.312255	0.0110366106061
14181.8181842	0.0165545707996
16806.3241134	0.0231855252234
19430.8300426	0.0309390573278
22055.3359718	0.0398279095176
24679.841901	0.0498664162434
27304.3478302	0.0610688552292
29928.8537594	0.0734477239216
32553.3596886	0.0870119608951
35177.8656178	0.101765145575
37802.371547	0.117703723489
40426.8774762	0.134815317242
43051.3834054	0.15307719413
45675.8893346	0.172454968301
48300.3952638	0.192901616939
50924.901193	0.214356885069
53549.4071222	0.236747141228
56173.9130514	0.25998572675
58798.4189806	0.283973815483
61422.9249098	0.308601770564
64047.4308391	0.333750953011
66671.9367683	0.359295906649
69296.4426975	0.385106818575
71920.9486267	0.411052136691
74545.4545559	0.437001217763
77169.9604851	0.462826881627
79794.4664143	0.488407759011
82418.9723435	0.513630340218
85043.4782727	0.53839065706
87667.9842019	0.562595558144
90292.4901311	0.58616356489
92916.9960603	0.609025320308
95541.5019895	0.631123662638
98166.0079187	0.652413370725
100790.513848	0.672860637066
103415.019777	0.692442328361
106039.525706	0.711145092785
108664.031635	0.728964369211
111288.537565	0.745903347301
113913.043494	0.761971919668
116537.549423	0.77718565921
119162.055352	0.791564846711
121786.561281	0.805133566497
124411.067211	0.817918881503
127035.57314	0.829950093761
129660.079069	0.841258092013
132284.584998	0.85187478489
134909.090928	0.861832615684
137533.596857	0.871164153174
140158.102786	0.879901751963
142782.608715	0.888077275295
145407.114644	0.895721873249
148031.620574	0.902865809371
150656.126503	0.909538329147
153280.632432	0.915767564239
155905.138361	0.921580466931
158529.64429	0.927002769817
161154.15022	0.932058966337
163778.656149	0.936772308325
166403.162078	0.941164817229
169027.668007	0.94525730616
171652.173936	0.949069410346
174276.679866	0.952619623935
176901.185795	0.955925341455
179525.691724	0.95900290249
182150.197653	0.961867638431
184774.703582	0.96453392033
187399.209512	0.967015207113
190023.715441	0.969324093521
192648.22137	0.971472357329
195272.727299	0.973471005438
197897.233228	0.975330318605
200521.739158	0.977059894566
203146.245087	0.978668689448
205770.751016	0.980165057355
208395.256945	0.981556788079
211019.762874	0.982851142936
213644.268804	0.984054888716
216268.774733	0.98517432977
218893.280662	0.986215338305
221517.786591	0.987183382902
224142.29252	0.98808355535
226766.79845	0.988920595849
229391.304379	0.989698916655
232015.810308	0.990422624244
234640.316237	0.991095540067
237264.822166	0.991721219968
239889.328096	0.992302972343
242513.834025	0.992843875111
245138.339954	0.993346791558
247762.845883	0.993814385132
250387.351812	0.994249133242
253011.857742	0.994653340138
255636.363671	0.99502914891
258260.8696	0.995378552678
